raakku	True	raakku	skjell	fkv	nob
raakku	True	raakku	skjell	fkv	nob
varpu	True	varpu	bjørkeris, bladstilk	fkv	nob
varpu	True	varpu	bjørkeris, bladstilk	fkv	nob
sisältää	False			fkv	nob
sisältää	False			fkv	nob
Yhteisö	False			fkv	nob
asemasta	False			fkv	nob
Ruijassa	False			fkv	nob
muutti	True	muuttaat	endre, forandre	fkv	nob
hän	True	hän	han, hun	fkv	nob
jauho	True	jauho	mel	fkv	nob
tykö	True	tykö	til	fkv	nob
kampela	False			fkv	nob
nutukka	True	nutukka	skalle	fkv	nob
natukka	False			fkv	nob
vörrääjä	True	vörrääjä	grind, port	fkv	nob
karsinto	False			fkv	nob
lapio	False			fkv	nob
lappii	True	lappi, lappii	lappisk, samisk; spade	fkv	nob
kristitty	True	kristitty	kristen	fkv	nob
kutteet	True	kutteet	gyte	fkv	nob
oon	True	olla	være	fkv	nob
kielen	True	kieli	språk, tunge	fkv	nob
oon	True	olla	være	fkv	nob
kirjoittannu	False			fkv	nob
yksinäinen	False			fkv	nob
samala	False			fkv	nob
ensimäiset	False			fkv	nob
tähään	True	tämä	den her, denne her, dette her	fkv	nob
julkaissu	False			fkv	nob
suuri	True	suuri	stor	fkv	nob
kokkous	True	kokkous	forsamling	fkv	nob
yhđessä	True	yksi, yhđessä	en, et; sammen, i selskap med	fkv	nob
kans	False			fkv	nob
jossa	False			fkv	nob
käsitelhään	False			fkv	nob
tervey	False			fkv	nob
tervet	True	tervet	frisk	fkv	nob
tervet	True	tervet	frisk	fkv	nob
terveinen	False			fkv	nob
vikate	False			fkv	nob
vikatet	False			fkv	nob
vikaatet	True	vikaatet	ljå	fkv	nob
vikaatet	True	vikaatet	ljå	fkv	nob
vikateinen	False			fkv	nob
poikanen	True	poikanen	guttunge	fkv	nob
poikanen	True	poikanen	guttunge	fkv	nob
asukas	False			fkv	nob
aita	True	aita	gjerde	fkv	nob
aita	True	aita	gjerde	fkv	nob
jänkkä	True	jänkkä	myr	fkv	nob
kypsy	True	kypsyyt, kypsy	moden; modnes, bli ferdig, bli moden	fkv	nob
tooli	True	tooli	stol	fkv	nob
hilla	True	hilla	multe, multebær	fkv	nob
äïti	False			fkv	nob
äijä	True	äijä	gubbe, kar, mann	fkv	nob
äiji	True	äiji	bestefar	fkv	nob
äiji	True	äiji	bestefar	fkv	nob
uskonu	True	uskoot	tro	fkv	nob
histooriaa	False			fkv	nob
digitaliseerathaan	False			fkv	nob
aukaisseet	False			fkv	nob
netissä	False			fkv	nob
vanhoita	False			fkv	nob
uskonu	True	uskoot	tro	fkv	nob
olis	True	olla	være	fkv	nob
valokuvvii	False			fkv	nob
valokuvvii	False			fkv	nob
sana	True	sana	ord	fkv	nob
uskonu	True	uskoot	tro	fkv	nob
uskonu	True	uskoot	tro	fkv	nob
tro	True	tro	uskoot; usko	nob	fkv
valas	True	valas	hval	fkv	nob
valas	True	valas	hval	fkv	nob
valas	True	valas	hval	fkv	nob
kevvee	True	kevvee	lett	fkv	nob
kevät	True	kevät	vår	fkv	nob
kevät	True	kevät	vår	fkv	nob
vantut	True	vantut	vott	fkv	nob
vantut	True	vantut	vott	fkv	nob
höyry	True	höyryyt, höyry	damp, os; dampe, ose	fkv	nob
laiva	True	laiva	skip	fkv	nob
veli	True	veli	bror	fkv	nob
veli	True	veli	bror	fkv	nob
varpu	True	varpu	bjørkeris, bladstilk	fkv	nob
varpu	True	varpu	bjørkeris, bladstilk	fkv	nob
kalakakko	True	kala, kalakakko	fisk; fiskekake	fkv	nob
kalakakko	True	kalakakko	fiskekake	fkv	nob
kalakakko	True	kalakakko	fiskekake	fkv	nob
hanhii	True	hanhii	gås	fkv	nob
hanhii	True	hanhii	gås	fkv	nob
metto	True	metto	tiur	fkv	nob
minnii	True	minnii	svigerdatter	fkv	nob
härkä	True	härkä	okse, stut, tyr	fkv	nob
härkä	True	härkä	okse, stut, tyr	fkv	nob
päälysvaatet	True	päälysvaatet	overklær, ytterklær	fkv	nob
pikku	True	pikku	liten	fkv	nob
priimu	True	priimu	strek	fkv	nob
priimu	True	priimu	strek	fkv	nob
pyssy	True	pyssy	børse	fkv	nob
pyssy	True	pyssy	børse	fkv	nob
rautio	False			fkv	nob
simpo	False			fkv	nob
staara	True	staara	tare	fkv	nob
staara	True	staara	tare	fkv	nob
tamppu	True	tamppu	stamp	fkv	nob
tamppu	True	tamppu	stamp	fkv	nob
tamppu	True	tamppu	stamp	fkv	nob
tekkiijä	True	tekkiijä	arbeider, den som gjør noe	fkv	nob
tyyris	True	tyyris	dyr	fkv	nob
traasu	True	traasu	trase	fkv	nob
traasu	True	traasu	trase	fkv	nob
pesä	True	pesä	hi, reir	fkv	nob
veres	True	veres	fersk	fkv	nob
härkä	True	härkä	okse, stut, tyr	fkv	nob
härkä	True	härkä	okse, stut, tyr	fkv	nob
tampu	False			fkv	nob
tamppu	True	tamppu	stamp	fkv	nob
tamppu	True	tamppu	stamp	fkv	nob
traasu	True	traasu	trase	fkv	nob
traasu	True	traasu	trase	fkv	nob
astii	True	astii	kar	fkv	nob
ahvento	True	ahvento	uer	fkv	nob
ääni	True	ääni	stemme, lyd	fkv	nob
aitta	True	aitta	stabbur	fkv	nob
astii	True	astii	kar	fkv	nob
hauki	True	hauki	gjedde	fkv	nob
hirsi	True	hirsi	tømmer, tømmerstokk	fkv	nob
hyksi	True	hyksi	hår	fkv	nob
jauho	True	jauho	mel	fkv	nob
juttu	False			fkv	nob
kaivo	True	kaivo	brønn	fkv	nob
kajava	True	kajava	måse	fkv	nob
kämmen	True	kämmen	håndflate, neve	fkv	nob
kampela	False			fkv	nob
kangas	True	kangas	vadmel	fkv	nob
kappalet	True	kappalet	stykke, lekse	fkv	nob
kelvoton	True	kelvoton	udugelig	fkv	nob
kaura	True	kaura	havre	fkv	nob
kenkä	True	kenkä	sko	fkv	nob
kirves	True	kirves	øks	fkv	nob
kirves	True	kirves	øks	fkv	nob
kirves	True	kirves	øks	fkv	nob
kynnys	True	kynnys	dørstokk	fkv	nob
kynsi	True	kynsi	negl	fkv	nob
kypsyyt	True	kypsyyt	modnes, bli ferdig, bli moden	fkv	nob
kypsy	True	kypsyyt, kypsy	moden; modnes, bli ferdig, bli moden	fkv	nob
lanka	True	lanka	garn, tråd	fkv	nob
lehmä	True	lehmä	ku	fkv	nob
lusikka	True	lusikka	skje, skjesluk	fkv	nob
lyhykäinen	True	lyhykäinen	kort	fkv	nob
maitta	True	maa	jord, land	fkv	nob
maitto	False			fkv	nob
maito	True	maito	melk	fkv	nob
manalainen	True	manalainen	underjordisk	fkv	nob
majavarppu	False			fkv	nob
maja	True	maja	hytte, skjul	fkv	nob
varpu	True	varpu	bjørkeris, bladstilk	fkv	nob
minnii	True	minnii	svigerdatter	fkv	nob
muna	True	muna	testikkel, egg	fkv	nob
naali	True	naali	fjellrev	fkv	nob
navetta	True	navetta	fjøs	fkv	nob
nutukka	True	nutukka	skalle	fkv	nob
orava	True	orava	ekorn	fkv	nob
paja	True	paja	smie	fkv	nob
palanen	True	palanen	bit, stykke	fkv	nob
petäjä	True	petäjä	furu	fkv	nob
peukalo	True	peukalo	tommel	fkv	nob
puhuvainen	False			fkv	nob
riekko	True	riekko	rype	fkv	nob
sarano	False			fkv	nob
sarana	False			fkv	nob
suku	True	suku	slekt	fkv	nob
tamppu	True	tamppu	stamp	fkv	nob
fjell	True	fjell	tunturi, vaara	nob	fkv
vantut	True	vantut	vott	fkv	nob
vikaatet	True	vikaatet	ljå	fkv	nob
vörrääjä	True	vörrääjä	grind, port	fkv	nob
elläin	True	elläin	husdyr, kreatur	fkv	nob
karhhuu	True	karhhuu	bjørn	fkv	nob
høyhen	False			fkv	nob
isäntä	True	isäntä	husbond, vert	fkv	nob
jänkkä	True	jänkkä	myr	fkv	nob
karsino	False			fkv	nob
ketata	False			fkv	nob
ketaraketata	False			fkv	nob
ketara	True	ketara	sledefot, fot	fkv	nob
kenttä	True	kenttä	eng, mark	fkv	nob
niitty	True	niitty	eng, slått	fkv	nob
piili	True	piili	bil	fkv	nob
poro	True	poro	rein	fkv	nob
poroaita	True	poroaita, poro	rein; reingjerde	fkv	nob
porras	True	porras	trapp	fkv	nob
poikanen	True	poikanen	guttunge	fkv	nob
putaatti	True	putaatti	potet	fkv	nob
rassuu	True	rassuu	fett, talg, stearin	fkv	nob
sivakka	True	sivakka	ski	fkv	nob
soopa	True	soopa	såpe	fkv	nob
sormi	True	sormi	finger	fkv	nob
terävä	True	terävä	kvass	fkv	nob
tervet	True	tervet	frisk	fkv	nob
tooli	True	tooli	stol	fkv	nob
tuohi	True	tuohi	never	fkv	nob
tyven	True	tyven, tyvi	vindstille; tykkende	fkv	nob
valas	True	valas	hval	fkv	nob
veitti	True	veitti	kniv	fkv	nob
vasen	False			fkv	nob
venet	True	venet	båt	fkv	nob
kataja	True	kataja	einer	fkv	nob
karitta	True	karitta, kari	lam; grus, skjær	fkv	nob
keituri	True	keituri	geit	fkv	nob
äiji	True	äiji	bestefar	fkv	nob
hanhii	True	hanhii	gås	fkv	nob
heinä	True	heinä	gress, høy	fkv	nob
aita	True	aita	gjerde	fkv	nob
pollo	False			fkv	nob
rauta	True	rauta	jern	fkv	nob
vaatet	True	vaatet	klesplagg, tøy	fkv	nob
vaatet	True	vaatet	klesplagg, tøy	fkv	nob
teppu	True	teppu	tang	fkv	nob
torkku	False			fkv	nob
traasu	True	traasu	trase	fkv	nob
vahonko	False			fkv	nob
vahinko	True	vahinko	skade, men, ulykke	fkv	nob
kippee	True	kippee	syk	fkv	nob
kippee	True	kippee	syk	fkv	nob
kippee	True	kippee	syk	fkv	nob
savi	True	savi	leir	fkv	nob
savi	True	savi	leir	fkv	nob
suoni	True	suoni	sene	fkv	nob
suoni	True	suoni	sene	fkv	nob
väki	True	väki	folk, menneskemengde	fkv	nob
väki	True	väki	folk, menneskemengde	fkv	nob
veittenterä	True	veittenterä	knivsegg	fkv	nob
veitti	True	veitti	kniv	fkv	nob
veitti	True	veitti	kniv	fkv	nob
vieriit	True	vieriit	rase, rulle, trille	fkv	nob
pimmee	True	pimmee	mørk	fkv	nob
faari	True	faari	far	fkv	nob
laki	True	laki, lakkiit	lepje, slikke; lov	fkv	nob
laki	True	laki	lov	fkv	nob
naali	True	naali	fjellrev	fkv	nob
lappi	True	lappi	lappisk, samisk	fkv	nob
lappi	True	lappi	lappisk, samisk	fkv	nob
lappi	True	lappi	lappisk, samisk	fkv	nob
seili	True	seili	seil	fkv	nob
peski	False			fkv	nob
fiili	True	fiili	melkeringe, fil	fkv	nob
träko	False			fkv	nob
träki	True	träki	dregg, anker	fkv	nob
klassi	True	klassi	klasse	fkv	nob
klasi	True	klasi	glass, vindu	fkv	nob
vero	True	vero	skatt	fkv	nob
taikko	True	taikko	gjødselgreip	fkv	nob
taikko	True	taikko	gjødselgreip	fkv	nob
roukko	True	roukko	svak is	fkv	nob
kärrö	True	kärrö	smålaks	fkv	nob
kilo	True	kilo	kilo	fkv	nob
apu	True	apu	hjelp	fkv	nob
apu	True	apu	hjelp	fkv	nob
bjørn	True	bjørn	karhhuu	nob	fkv
haiju	True	haiju	lukt, duft	fkv	nob
kalu	True	kalu	redskap	fkv	nob
mänty	True	mänty	ungfuru	fkv	nob
mänty	True	mänty	ungfuru	fkv	nob
lattuu	True	lattuu	løype, skispor	fkv	nob
lattuu	True	lattuu	løype, skispor	fkv	nob
rahtu	True	rahtu	skifer	fkv	nob
rahtu	True	rahtu	skifer	fkv	nob
rahtu	True	rahtu	skifer	fkv	nob
polku	True	polku	sti, tråkk	fkv	nob
polku	True	polku	sti, tråkk	fkv	nob
hätä	True	hätä	nød	fkv	nob
hätä	True	hätä	nød	fkv	nob
hieta	True	hieta	sand	fkv	nob
jänkkä	True	jänkkä	myr	fkv	nob
jänkkä	True	jänkkä	myr	fkv	nob
kärpänen	True	kärpänen	flue	fkv	nob
kuski	True	kuski	kusk	fkv	nob
liina	True	liina	lin, line	fkv	nob
lisä	True	lisä	ekstra, tillegg, tilskudd	fkv	nob
miila	True	miila	mil, mølle	fkv	nob
multa	True	multa	mold	fkv	nob
multa	True	multa	mold	fkv	nob
pahta	True	pahta	berg	fkv	nob
pahta	True	pahta	berg	fkv	nob
palkka	True	palkka	lønn	fkv	nob
palkka	True	palkka	lønn	fkv	nob
pelikulma	True	peli	spill	fkv	nob
kulma	True	kulma	vinkel	fkv	nob
kuorma	True	kuorma	lass, last	fkv	nob
piimä	True	piimä	surmelk, kefir	fkv	nob
pilkka	True	pilkka	hån, spott	fkv	nob
pilkka	True	pilkka	hån, spott	fkv	nob
puola	True	puola	tyttebær, spole	fkv	nob
rauta	True	rauta	jern	fkv	nob
rauta	True	rauta	jern	fkv	nob
reikä	True	reikä	hull	fkv	nob
reikä	True	reikä	hull	fkv	nob
saita	True	saita	sei	fkv	nob
saita	True	saita	sei	fkv	nob
syltä	True	syltä	favn	fkv	nob
turska	True	turska	torsk	fkv	nob
verka	True	verka	klede	fkv	nob
verka	True	verka	klede	fkv	nob
verka	True	verka	klede	fkv	nob
jäkälä	True	jäkälä	lav	fkv	nob
kieruna	True	kieruna	fjellrype	fkv	nob
souttaat	True	souttaat	ro	fkv	nob
ankkuri	True	ankkuri	anker	fkv	nob
keituri	True	keituri	geit	fkv	nob
tehdä	False			fkv	nob
resyrsi	True	resyrsi	ressurs	fkv	nob
resyrsi	True	resyrsi	ressurs	fkv	nob
peukalo	True	peukalo	tommel	fkv	nob
peukola	False			fkv	nob
turvet	True	turvet	torv	fkv	nob
turvet	True	turvet	torv	fkv	nob
purjet	True	purjet	seil	fkv	nob
kantelet	True	kantelet	kantelet	fkv	nob
elaket	False			fkv	nob
eläke	False			fkv	nob
puutet	True	puutet	mangel	fkv	nob
tervet	True	tervet	frisk	fkv	nob
tervet	True	tervet	frisk	fkv	nob
askelet	True	askelet	trinn, steg	fkv	nob
askelet	True	askelet	trinn, steg	fkv	nob
viekas	True	viekas	rar, merkelig	fkv	nob
tyyris	True	tyyris	dyr	fkv	nob
tyyris	True	tyyris	dyr	fkv	nob
rengas	True	rengas	ring	fkv	nob
pallas	True	pallas	kveite	fkv	nob
vantut	True	vantut	vott	fkv	nob
vantut	True	vantut	vott	fkv	nob
kallo	True	kallo	skalle	fkv	nob
lato	True	lato, lattoot	løe, låve; stable	fkv	nob
lato	True	lato	løe, låve	fkv	nob
minnii	True	minnii	svigerdatter	fkv	nob
mooli	True	mooli	mål	fkv	nob
niittäät	True	niittäät	slå høy, arbeide med slåtta	fkv	nob
noura	False			fkv	nob
nuotti	True	nuotti	note, tone	fkv	nob
nuotti	True	nuotti	note, tone	fkv	nob
onki	True	onkkiit, onki	fiskekrok; fiske	fkv	nob
onki	True	onki	fiskekrok	fkv	nob
piimä	True	piimä	surmelk, kefir	fkv	nob
savi	True	savi	leir	fkv	nob
savi	True	savi	leir	fkv	nob
staara	True	staara	tare	fkv	nob
stre	False			fkv	nob
stre	False			fkv	nob
syöttä	True	syöttä, syöđä	ete, spise; agn, åte	fkv	nob
syöttä	True	syöttä	agn, åte	fkv	nob
syvä	True	syvä	dyp	fkv	nob
tyristi	True	tyristi	turist	fkv	nob
tila	True	tila	anledning	fkv	nob
trenki	True	trenki	dreng, tjenestegutt	fkv	nob
trenki	True	trenki	dreng, tjenestegutt	fkv	nob
vaali	True	vaali	valg	fkv	nob
vaali	True	vaali	valg	fkv	nob
väki	True	väki	folk, menneskemengde	fkv	nob
väki	True	väki	folk, menneskemengde	fkv	nob
valkkee	True	valjeta, valkkee	ild, bål; lysne, bli lys, gry; lys	fkv	nob
valkkee	True	valkkee	ild, bål	fkv	nob
valkkee	True	valjeta, valkkee	ild, bål; lysne, bli lys, gry; lys	fkv	nob
valkkee	True	valkkee	lys	fkv	nob
valkkee	True	valjeta, valkkee	ild, bål; lysne, bli lys, gry; lys	fkv	nob
kuski	True	kuski	kusk	fkv	nob
halli	True	halli	hall	fkv	nob
halli	True	halli	hall	fkv	nob
juuri	True	juuri	akkurat, just; rot	fkv	nob
juuri	True	juuri	rot	fkv	nob
kuori	True	kuori	skall, skrell	fkv	nob
kuori	True	kuori	skall, skrell	fkv	nob
reki	True	reki	slede, rekke-	fkv	nob
reki	True	reki	slede, rekke-	fkv	nob
varsi	True	varsi	skaft	fkv	nob
varsi	True	varsi	skaft	fkv	nob
luuta	True	luuta	kost, lime	fkv	nob
luP	False			fkv	nob
lupa	True	lupa	lov, tillatelse	fkv	nob
lupa	True	lupa	lov, tillatelse	fkv	nob
nuotta	True	nuotta	not, garn	fkv	nob
nuotta	True	nuotta	not, garn	fkv	nob
nurkka	True	nurkka	hjørne	fkv	nob
nurkka	True	nurkka	hjørne	fkv	nob
nutukka	True	nutukka	skalle	fkv	nob
pata	True	pata	gryte, jerngryte, spar	fkv	nob
pata	True	pata	gryte, jerngryte, spar	fkv	nob
ruiđa	True	ruiđa	norsk	fkv	nob
ruiđa	True	ruiđa	norsk	fkv	nob
ruija	False			fkv	nob
saaja	True	saaja	mottaker	fkv	nob
saita	True	saita	sei	fkv	nob
saita	True	saita	sei	fkv	nob
suorsa	True	suorsa	stokkand	fkv	nob
suorsa	True	suorsa	stokkand	fkv	nob
tierata	True	tierata	leke	fkv	nob
tolppa	True	tolppa	stolpe	fkv	nob
vainaja	True	vainaja	avdød –e	fkv	nob
varsi	True	varsi	skaft	fkv	nob
varsi	True	varsi	skaft	fkv	nob
nurkka	True	nurkka	hjørne	fkv	nob
kranni	True	kranni	granne, nabo	fkv	nob
faari	True	faari	far	fkv	nob
kampi	False			fkv	nob
kampa	True	kampa	kam –men	fkv	nob
naatti	False			fkv	nob
assii	True	assii	sak	fkv	nob
tanko	True	tanko	stang	fkv	nob
tanko	True	tanko	stang	fkv	nob
kalu	True	kalu	redskap	fkv	nob
lattuu	True	lattuu	løype, skispor	fkv	nob
pajunetti	True	pajunetti	pajonett	fkv	nob
pounu	True	pounu	tue	fkv	nob
raakku	True	raakku	skjell	fkv	nob
rahtu	True	rahtu	skifer	fkv	nob
kranni	True	kranni	granne, nabo	fkv	nob
kranni	True	kranni	granne, nabo	fkv	nob
laji	True	laji	slag, sort	fkv	nob
muori	True	muori	mor	fkv	nob
träki	True	träki	dregg, anker	fkv	nob
träki	True	träki	dregg, anker	fkv	nob
saippuu	False			fkv	nob
ruottii	True	ruottii	svensk	fkv	nob
ruottii	True	ruottii	svensk	fkv	nob
kaukkaa	True	kaukkaa	langt borte	fkv	nob
ketara	True	ketara	sledefot, fot	fkv	nob
laattii	True	laattii	gulv	fkv	nob
kunnia	True	kunnia	heder, ære	fkv	nob
harava	True	harava	rive	fkv	nob
santikka	True	santikka	flyndre	fkv	nob
aateli	True	aateli	adel	fkv	nob
esteri	False			fkv	nob
hanuri	False			fkv	nob
stainari	True	stainari	steinbit	fkv	nob
tynnyri	True	tynnyri	tønne	fkv	nob
vaijeri	False			fkv	nob
fabriikki	False			fkv	nob
testamentti	True	testamentti	testament	fkv	nob
testamentti	True	testamentti	testament	fkv	nob
evakko	False			fkv	nob
painet	True	painet	farging	fkv	nob
perset	True	perset	rumpe, ræv	fkv	nob
turvet	True	turvet	torv	fkv	nob
turvet	True	turvet	torv	fkv	nob
vikatet	False			fkv	nob
vikaatet	True	vikaatet	ljå	fkv	nob
vikaatet	True	vikaatet	ljå	fkv	nob
pallas	True	pallas	kveite	fkv	nob
pallas	True	pallas	kveite	fkv	nob
halvaus	True	halvaus	lammelse	fkv	nob
kinos	True	kinos	snø	fkv	nob
kinos	True	kinos	snø	fkv	nob
veres	True	veres	fersk	fkv	nob
veres	True	veres	fersk	fkv	nob
kevät	True	kevät	vår	fkv	nob
kevät	True	kevät	vår	fkv	nob
lyhyt	True	lyhyt	kort	fkv	nob
lyhyt	True	lyhyt	kort	fkv	nob
kevväilä	True	kevväilä	om våren	fkv	nob
äiti	True	äiti	mor	fkv	nob
äiti	True	äiti	mor	fkv	nob
alat	True	alkkaat	begynne, starte	fkv	nob
ämmi	True	ämmi	bestemor	fkv	nob
ämmi	True	ämmi	bestemor	fkv	nob
äppö	True	äppö	dukke	fkv	nob
hanhii	True	hanhii	gås	fkv	nob
isä	True	isä	far	fkv	nob
isoin	False			fkv	nob
jaara	True	jaara	vær	fkv	nob
jälki	True	jälki	spor, far	fkv	nob
janturi	True	janturi	måned	fkv	nob
kaljamaa	True	kalja, kaljamaa	svakdrikke; holkeføre	fkv	nob
kampelo	False			fkv	nob
keppotauti	True	keppotauti	lungesykdom –men, lungebetennelse	fkv	nob
keppotauti	True	keppotauti	lungesykdom –men, lungebetennelse	fkv	nob
pyytö	True	pyytö	fangst	fkv	nob
kokous	True	kokous	forsamling	fkv	nob
koppa	True	koppa	bukt, vik	fkv	nob
lippa	True	lippa	lam	fkv	nob
mamma	True	mamma	mamma	fkv	nob
manalainen	True	manalainen	underjordisk	fkv	nob
matta	True	matta	matte	fkv	nob
mella	True	mella	brink, mel	fkv	nob
näkö	True	näkö	syn, lys	fkv	nob
näkö	True	näkö	syn, lys	fkv	nob
oja	True	oja	bekk	fkv	nob
öystä	True	öystä	øst	fkv	nob
paja	True	paja	smie	fkv	nob
purri	True	purri	okse	fkv	nob
pyssi	True	pyssi	buss	fkv	nob
seipä	False			fkv	nob
siessi	True	siessi	rom i båt, sess	fkv	nob
sölkä	True	sölkä	rygg	fkv	nob
sölkä	True	sölkä	rygg	fkv	nob
syötä	True	syöttäät	mate, agne	fkv	nob
tirro	True	tirro	terne	fkv	nob
trappu	False			fkv	nob
otrinki	False			fkv	nob
ulkoovi	True	ulkoovi	ytterdør	fkv	nob
kveeni	False			fkv	nob
kainuu	True	kainuu	kvænsk	fkv	nob
kvensk	False			nob	fkv
kvænsk	True	kvænsk	kainhuunkieli	nob	fkv
alatti	False			fkv	nob
fangst	False			fkv	nob
fangst	True	fangst	pyytäminen, pyytö	nob	fkv
kakt	False			nob	fkv
jakt	True	jakt	jahti	nob	fkv
raato	False			nob	fkv
raato	False			nob	fkv
rae	False			nob	fkv
rae	False			nob	fkv
hagl	True	hagl	hauli	nob	fkv
rauttii	False			nob	fkv
simppa	False			nob	fkv
kluva	False			nob	fkv
klu	False			fkv	nob
palvelus	True	palvelus	dyrking, tjeneste	fkv	nob
rintaka	False			fkv	nob
kippa	False			fkv	nob
nokka	True	nokka	nese, nebb	fkv	nob
